agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1,87,44,1,6,0,0.0,5.999999999999995,372.0,0,0.0,12,7
2,87,21,0,2,0,0.0,0.0,120.0,0,-1.0,10,2
3,87,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
0,88,9,2,0,0,0.0,11.0,65.0,0,0.0,6,2
1,88,200,0,39,0,4.1999999999999895,41.99999999999989,4302.0,0,1.0,13,39
2,88,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
3,88,26,1,3,0,0.0,5.999999999999998,297.0,0,-1.0,14,4
0,89,15,1,1,0,0.0,5.000000000000002,122.0,0,-1.0,7,2
1,89,200,0,39,0,4.200000000000003,42.00000000000003,5760.0,0,1.0,10,39
2,89,15,0,1,0,0.0,0.0,69.0,0,-1.0,7,1
3,89,27,0,3,0,0.0,0.0,111.0,0,-1.0,10,3
0,90,200,0,38,0,3.6000000000000147,36.00000000000014,6072.0,3,0.8,18,38
1,90,15,1,1,0,0.0,5.000000000000002,68.0,0,0.0,7,2
2,90,21,1,2,0,0.0,5.000000000000002,107.0,0,0.0,11,3
