,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
704,177.0,0.0,0.9955654101995566,36.51662971175166,1.130820399113082,5.010199556541026,56.0753880266076,5459.148558758315,0.4104212860310421,25.56319290465632,451
705,177.0,1.0,0.18552036199095023,31.8710407239819,0.12895927601809956,2.2226244343891337,23.33936651583704,3400.0361990950228,0.3583710407239819,18.357466063348415,442
706,177.0,2.0,1.1497326203208555,32.475935828877006,0.2709447415329768,2.5857397504456254,32.755793226381385,3528.306595365419,0.39750445632798576,21.768270944741534,561
707,177.0,3.0,0.6,30.1,4.0,1.159999999999996,15.199999999999957,2756.6,0.11000000000000001,30.9,10
708,178.0,0.0,1.0376940133037693,36.709534368070955,1.1352549889135255,5.0259423503326,56.485587583148614,5515.634146341464,0.4279379157427938,25.592017738359203,451
709,178.0,1.0,0.15610859728506787,32.05882352941177,0.12895927601809956,2.235294117647052,23.28959276018093,3423.31221719457,0.33665158371040727,18.373303167420815,442
710,178.0,2.0,1.1711229946524064,32.6541889483066,0.2709447415329768,2.5926916221033793,32.95365418894823,3561.2602495543674,0.3775401069518717,21.79144385026738,561
711,178.0,3.0,0.8,30.2,4.0,1.1199999999999959,15.999999999999957,2772.6,0.36,31.2,10
712,179.0,0.0,1.039911308203991,36.91796008869179,1.1419068736141906,5.050997782705106,56.749445676275,5572.383592017738,0.42195121951219516,25.634146341463413,451
713,179.0,1.0,0.17647058823529413,32.21945701357466,0.12895927601809956,2.23167420814479,23.375565610859663,3446.660633484163,0.32760180995475113,18.395927601809955,442
714,179.0,2.0,1.1657754010695187,32.83600713012478,0.2709447415329768,2.6017825311942886,33.012477718359996,3594.2620320855617,0.35436720142602496,21.809269162210338,561
715,179.0,3.0,0.8,30.4,4.1,1.1399999999999957,16.199999999999957,2788.8,0.53,31.4,10
716,180.0,0.0,1.024390243902439,37.130820399113084,1.1507760532150777,5.078713968957877,56.9334811529934,5629.317073170731,0.4155210643015521,25.676274944567627,451
717,180.0,1.0,0.1493212669683258,32.4027149321267,0.12895927601809956,2.2416289592760115,23.31221719457007,3469.9592760180994,0.3203619909502262,18.418552036199095,442
718,180.0,2.0,1.1693404634581106,33.007130124777184,0.2709447415329768,2.6044563279857322,33.060606060605984,3627.3226381461677,0.34509803921568627,21.85204991087344,561
719,180.0,3.0,0.7,30.5,4.1,1.0999999999999956,15.199999999999957,2804.0,0.06,31.5,10
720,181.0,0.0,1.0088691796008868,37.34146341463415,1.1552106430155211,5.1050997782705165,57.104212860310476,5686.421286031042,0.4035476718403548,25.711751662971174,451
721,181.0,1.0,0.14705882352941177,32.55203619909502,0.12895927601809956,2.231221719457007,23.19457013574654,3493.140271493213,0.28597285067873307,18.445701357466064,442
722,181.0,2.0,1.0962566844919786,33.23707664884135,0.2709447415329768,2.642424242424235,33.001782531194216,3660.324420677362,0.386096256684492,21.868092691622103,561
723,181.0,3.0,0.7,30.6,4.1,1.0599999999999956,14.799999999999958,2818.8,0.16,31.5,10
724,182.0,0.0,1.033259423503326,37.5410199556541,1.1552106430155211,5.12483370288249,57.44789356984485,5743.869179600887,0.412860310421286,25.738359201773836,451
725,182.0,1.0,0.19457013574660634,32.69457013574661,0.12895927601809956,2.2167420814479573,23.33484162895921,3516.475113122172,0.32624434389140267,18.452488687782804,442
726,182.0,2.0,1.1194295900178253,33.401069518716575,0.2709447415329768,2.640819964349369,33.124777183600635,3693.4491978609626,0.3508021390374332,21.873440285204993,561
727,182.0,3.0,0.5,30.8,4.1,1.0799999999999959,13.799999999999958,2832.6,0.18,31.5,10
728,183.0,0.0,1.08,37.766666666666666,1.1555555555555554,5.160222222222229,58.082222222222285,5805.268888888889,0.4502222222222222,25.76888888888889,450
729,183.0,1.0,0.175,32.9,0.12954545454545455,2.2399999999999936,23.449999999999935,3547.6863636363637,0.35727272727272724,18.472727272727273,440
