episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
381,41.0,7710.0,2823.5,11294.0,1,43,20.5,82
382,36.0,5412.0,1395.75,5583.0,0,37,9.5,38
383,41.0,7992.0,3529.25,14117.0,1,43,21.25,85
384,837.0,6420.0,3677.25,14709.0,11,38,30.75,123
385,113.0,3696.0,1288.25,5153.0,2,38,14.25,57
386,59.0,3906.0,2699.75,10799.0,1,37,27.5,110
387,285.0,6480.0,3127.5,12510.0,5,41,28.0,112
388,1218.0,3786.0,2424.0,9696.0,14,38,30.0,120
389,57.0,3072.0,866.75,3467.0,1,36,10.75,43
390,81.0,6696.0,2328.0,9312.0,1,39,19.0,76
391,110.0,7578.0,3449.75,13799.0,3,42,24.75,99
392,36.0,6138.0,3483.0,13932.0,0,40,28.0,112
393,458.0,4278.0,1928.75,7715.0,11,38,20.75,83
394,41.0,648.0,301.75,1207.0,1,14,7.25,29
395,357.0,3210.0,1655.25,6621.0,6,38,18.5,74
396,47.0,2808.0,948.5,3794.0,1,34,12.5,50
397,86.0,7578.0,3245.75,12983.0,2,45,23.25,93
398,71.0,8190.0,2743.25,10973.0,1,45,21.0,84
399,98.0,5412.0,1489.25,5957.0,2,39,12.0,48
400,36.0,477.0,181.5,726.0,0,9,3.0,12
401,65.0,6396.0,2526.5,10106.0,1,41,20.0,80
402,173.0,4302.0,3068.75,12275.0,5,38,29.0,116
403,47.0,8802.0,3416.75,13667.0,1,45,22.0,88
404,159.0,7386.0,3091.25,12365.0,3,42,23.0,92
405,77.0,7572.0,2561.75,10247.0,1,41,20.0,80
406,36.0,5628.0,2312.75,9251.0,0,37,21.0,84
407,71.0,2892.0,865.25,3461.0,1,34,11.25,45
408,98.0,4638.0,2317.25,9269.0,2,37,22.5,90
409,441.0,7608.0,3164.25,12657.0,9,44,25.75,103
410,36.0,7902.0,3037.5,12150.0,0,46,22.0,88
411,36.0,1128.0,365.25,1461.0,0,20,6.25,25
412,71.0,5376.0,3203.75,12815.0,1,38,28.0,112
413,41.0,7728.0,2536.75,10147.0,1,41,19.5,78
414,36.0,7584.0,2715.0,10860.0,0,44,21.25,85
415,86.0,4344.0,2458.25,9833.0,2,39,24.25,97
416,132.0,3930.0,1126.25,4505.0,4,37,12.75,51
417,36.0,10326.0,4229.0,16916.0,0,46,22.75,91
418,77.0,1482.0,510.5,2042.0,1,22,7.5,30
419,102.0,189.0,132.25,529.0,2,4,2.75,11
420,65.0,4962.0,2165.0,8660.0,1,36,20.5,82
421,53.0,6948.0,3421.25,13685.0,1,42,24.25,97
422,224.0,1332.0,665.0,2660.0,4,20,10.5,42
423,47.0,3078.0,1462.75,5851.0,1,35,18.5,74
424,42.0,2892.0,902.0,3608.0,0,33,11.0,44
425,624.0,4740.0,2733.0,10932.0,13,41,28.5,114
426,138.0,929.0,534.5,2138.0,2,21,11.5,46
427,104.0,3702.0,1547.0,6188.0,2,34,19.75,79
428,59.0,8622.0,3388.25,13553.0,1,46,23.25,93
429,65.0,7104.0,2758.25,11033.0,1,43,20.25,81
430,116.0,4002.0,1199.75,4799.0,2,37,13.0,52
431,47.0,6804.0,3239.75,12959.0,1,40,28.25,113
432,306.0,7806.0,3176.0,12704.0,7,42,23.5,94
433,74.0,5808.0,3132.5,12530.0,2,40,27.75,111
434,41.0,6348.0,1837.25,7349.0,1,42,15.5,62
435,90.0,2712.0,798.0,3192.0,2,35,11.0,44
436,654.0,7146.0,4122.0,16488.0,12,41,32.25,129
437,74.0,6720.0,1852.75,7411.0,2,42,13.75,55
438,36.0,4128.0,1093.5,4374.0,0,37,10.25,41
439,80.0,4560.0,1210.0,4840.0,2,39,11.5,46
440,75.0,5160.0,1434.0,5736.0,1,41,12.75,51
441,36.0,9006.0,3607.5,14430.0,0,44,21.0,84
442,252.0,8700.0,3462.5,13850.0,6,44,23.5,94
443,41.0,8046.0,3243.5,12974.0,1,44,21.25,85
444,63.0,69.0,67.5,270.0,1,1,1.0,4
445,116.0,5724.0,3326.0,13304.0,3,40,29.5,118
446,42.0,2745.0,774.5,3098.0,0,31,9.0,36
