agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
1,majoritarian,72,15,0,1,0,0.0,0.0,87.0,3,-1.1,8,1
2,baseline,72,200,2,49,1,10.200000000000026,114.00000000000024,10122.0,0,2.0,16,51
3,baseline,72,15,2,1,2,0.0,11.0,122.0,0,0.0,8,3
0,majoritarian,73,68,3,10,1,0.0,17.999999999999982,852.0,0,-1.0,20,13
1,majoritarian,73,74,1,11,3,0.0,5.999999999999974,1287.0,0,-0.1999999999999999,29,12
2,baseline,73,200,22,39,0,4.200000000000007,174.00000000000006,18792.0,0,1.0,23,61
3,baseline,73,21,0,2,2,0.0,0.0,126.0,3,-1.2,11,2
0,majoritarian,74,21,0,2,1,0.0,0.0,84.0,4,-1.1,9,2
1,majoritarian,74,44,0,6,3,0.0,0.0,570.0,0,-1.0,22,6
2,baseline,74,200,23,39,0,4.199999999999995,179.99999999999991,21018.0,0,2.0,21,62
3,baseline,74,39,1,5,2,0.0,5.000000000000005,308.0,0,-1.0,20,6
0,majoritarian,75,86,2,13,4,0.0,11.999999999999984,1185.0,0,-1.0,22,15
1,majoritarian,75,9,0,0,1,0.0,0.0,42.0,0,-1.0,5,0
2,baseline,75,200,12,36,0,2.399999999999991,95.9999999999999,8406.0,0,2.0,27,48
3,baseline,75,128,3,20,4,0.0,17.999999999999957,2364.0,0,0.0,29,23
0,majoritarian,76,200,0,38,2,3.599999999999986,35.99999999999986,5574.0,0,1.0,34,38
1,majoritarian,76,50,1,7,1,0.0,5.9999999999999885,489.0,0,-0.1999999999999999,16,8
2,baseline,76,200,0,41,2,5.400000000000005,54.00000000000004,4674.0,0,1.0,24,41
3,baseline,76,39,2,5,1,0.0,11.000000000000004,236.0,0,0.0,15,7
0,majoritarian,77,200,0,40,7,4.800000000000042,48.00000000000041,9204.0,0,1.0,35,40
1,majoritarian,77,110,0,17,2,0.0,0.0,1689.0,3,-1.1,33,17
2,baseline,77,200,1,44,3,7.200000000000012,78.00000000000011,7392.0,0,2.0,29,45
3,baseline,77,39,1,5,3,0.0,5.000000000000002,308.0,0,0.0,21,6
