episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
244,336.0,6426.0,1885.75,7543.0,8,39,17.0,68,57,200,97.25,389
245,71.0,6936.0,2753.5,11014.0,1,43,24.0,96,9,200,128.5,514
246,57.0,5652.0,1542.5,6170.0,1,40,12.25,49,9,200,67.0,268
247,335.0,5724.0,3217.25,12869.0,9,42,30.25,121,57,200,164.25,657
248,59.0,4122.0,1212.25,4849.0,1,37,13.0,52,9,200,76.25,305
249,102.0,7224.0,2844.0,11376.0,2,44,23.75,95,21,200,128.25,513
250,140.0,4254.0,1466.75,5867.0,3,38,16.0,64,15,200,92.25,369
251,36.0,4854.0,1266.0,5064.0,0,39,10.25,41,9,200,59.75,239
252,59.0,510.0,184.75,739.0,1,12,4.25,17,9,81,31.5,126
253,84.0,8880.0,3613.5,14454.0,2,45,27.5,110,21,200,146.25,585
254,68.0,9066.0,3076.0,12304.0,2,43,20.75,83,15,200,107.5,430
255,63.0,4236.0,1269.5,5078.0,1,37,13.25,53,15,200,76.0,304
256,104.0,7188.0,3800.0,15200.0,3,44,29.75,119,15,200,153.75,615
257,63.0,4392.0,1165.25,4661.0,1,37,10.5,42,15,200,62.75,251
258,59.0,7674.0,3706.75,14827.0,1,43,21.75,87,9,200,109.0,436
259,170.0,3660.0,1772.5,7090.0,4,39,20.25,81,27,200,113.5,454
260,71.0,1758.0,898.25,3593.0,1,33,18.0,72,9,200,113.75,455
261,71.0,3822.0,1829.75,7319.0,2,39,23.75,95,9,200,131.25,525
262,42.0,12276.0,4589.25,18357.0,0,49,24.5,98,9,200,118.0,472
263,69.0,684.0,292.75,1171.0,1,12,5.25,21,15,81,37.5,150
264,65.0,3978.0,1165.25,4661.0,1,36,12.25,49,9,200,71.5,286
265,107.0,1734.0,633.25,2533.0,2,30,10.75,43,21,188,70.25,281
266,53.0,3216.0,937.0,3748.0,1,35,11.25,45,9,200,65.5,262
267,323.0,7236.0,3791.75,15167.0,7,42,31.0,124,45,200,161.25,645
268,63.0,3924.0,1112.0,4448.0,1,37,11.5,46,15,200,67.0,268
269,176.0,8400.0,4833.5,19334.0,4,42,31.0,124,27,200,156.75,627
270,36.0,3048.0,801.75,3207.0,0,37,9.5,38,9,200,58.25,233
271,41.0,8124.0,2998.75,11995.0,1,46,21.25,85,9,200,106.0,424
272,53.0,4986.0,1501.75,6007.0,1,38,13.75,55,9,200,79.0,316
273,92.0,165.0,123.75,495.0,2,3,2.5,10,15,27,18.0,72
274,36.0,7716.0,3186.0,12744.0,0,44,28.0,112,9,200,152.25,609
275,113.0,11568.0,3946.75,15787.0,3,46,24.75,99,21,200,127.0,508
276,47.0,4188.0,1213.75,4855.0,1,36,12.5,50,9,200,73.25,293
277,69.0,1074.0,362.5,1450.0,1,16,5.5,22,15,104,38.75,155
278,65.0,5778.0,2552.0,10208.0,1,42,26.25,105,9,200,142.0,568
279,41.0,7272.0,4799.75,19199.0,1,43,31.5,126,9,200,152.25,609
280,65.0,8874.0,3004.25,12017.0,1,45,21.25,85,9,200,110.5,442
281,47.0,1524.0,472.0,1888.0,1,12,4.5,18,9,80,32.75,131
282,71.0,171.0,127.0,508.0,1,3,2.5,10,9,27,21.0,84
283,57.0,183.0,122.5,490.0,1,5,2.5,10,9,33,21.0,84
284,108.0,8586.0,3705.0,14820.0,2,46,29.75,119,21,200,155.25,621
285,179.0,7398.0,2010.0,8040.0,3,43,14.25,57,21,200,73.25,293
286,57.0,2364.0,654.25,2617.0,1,24,7.5,30,9,152,49.25,197
287,132.0,3906.0,1108.75,4435.0,2,36,11.75,47,21,200,70.25,281
288,36.0,216.0,113.25,453.0,0,6,2.25,9,9,45,22.5,90
289,182.0,5544.0,1587.75,6351.0,4,37,13.75,55,27,200,77.75,311
290,36.0,2604.0,704.0,2816.0,0,35,9.5,38,9,200,58.25,233
291,59.0,4854.0,1282.5,5130.0,1,36,10.5,42,9,200,61.25,245
292,98.0,4758.0,1315.75,5263.0,2,40,13.0,52,15,200,70.25,281
293,440.0,8196.0,3510.5,14042.0,12,44,31.5,126,75,200,168.75,675
294,53.0,8970.0,3120.25,12481.0,1,45,23.75,95,9,200,124.0,496
295,272.0,8004.0,3606.5,14426.0,6,40,30.0,120,39,200,159.75,639
296,179.0,1446.0,543.75,2175.0,5,16,9.0,36,33,104,56.75,227
297,329.0,10428.0,3688.0,14752.0,7,44,23.5,94,45,200,122.5,490
298,330.0,4296.0,1777.25,7109.0,8,36,21.75,87,57,200,128.5,514
299,42.0,8388.0,2397.5,9590.0,0,36,14.5,58,9,200,88.0,352
300,57.0,4032.0,1272.5,5090.0,1,39,12.75,51,15,200,73.0,292
301,287.0,8088.0,4522.25,18089.0,7,46,31.75,127,45,200,161.25,645
302,53.0,7674.0,2782.25,11129.0,1,43,22.25,89,9,200,116.5,466
303,111.0,9174.0,3285.75,13143.0,3,46,23.75,95,27,200,124.0,496
304,111.0,3150.0,895.75,3583.0,3,33,10.5,42,21,200,67.25,269
305,77.0,2292.0,728.25,2913.0,1,35,11.75,47,9,200,68.75,275
306,57.0,7866.0,3284.25,13137.0,1,44,28.75,115,15,200,153.75,615
307,42.0,3360.0,961.75,3847.0,0,37,12.5,50,9,200,73.25,293
