episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
379,41.0,10440.0,4199.75,16799.0,1,60,36.0,144
380,41.0,3153.0,969.25,3877.0,1,25,9.25,37
381,75.0,10554.0,3809.0,15236.0,1,67,32.25,129
382,81.0,2637.0,803.5,3214.0,1,33,11.5,46
383,209.0,9804.0,4658.5,18634.0,5,72,38.75,155
384,138.0,10056.0,5247.75,20991.0,2,73,43.0,172
385,69.0,990.0,311.75,1247.0,1,10,3.75,15
386,102.0,19236.0,4956.75,19827.0,2,67,19.5,78
387,150.0,18018.0,11035.5,44142.0,4,78,57.75,231
388,87.0,1974.0,705.75,2823.0,1,22,9.75,39
389,36.0,17610.0,9548.25,38193.0,0,78,52.0,208
390,63.0,3438.0,986.5,3946.0,1,28,9.5,38
391,65.0,3771.0,1005.25,4021.0,1,37,10.25,41
392,36.0,41.0,37.25,149.0,0,1,0.25,1
393,171.0,7662.0,3758.75,15035.0,3,71,37.0,148
394,222.0,1740.0,713.0,2852.0,6,18,10.5,42
395,63.0,5334.0,1580.25,6321.0,1,34,12.25,49
396,273.0,17748.0,7220.25,28881.0,5,72,39.25,157
397,59.0,1163.0,360.75,1443.0,1,19,6.25,25
398,36.0,12942.0,6103.5,24414.0,0,73,38.0,152
399,84.0,7824.0,2201.25,8805.0,2,36,13.0,52
400,69.0,12768.0,6156.5,24626.0,1,71,37.0,148
401,120.0,5244.0,1923.0,7692.0,2,28,17.0,68
402,57.0,1479.0,513.5,2054.0,1,13,6.75,27
403,69.0,10692.0,5217.5,20870.0,1,72,36.75,147
404,89.0,19524.0,11051.75,44207.0,3,76,55.5,222
405,90.0,1596.0,692.25,2769.0,2,18,9.75,39
406,120.0,19278.0,10939.5,43758.0,2,77,55.25,221
407,98.0,7914.0,3964.25,15857.0,2,69,37.0,148
408,63.0,13986.0,8411.25,33645.0,1,77,56.25,225
409,92.0,12690.0,5697.25,22789.0,2,74,38.0,152
410,83.0,5253.0,1560.25,6241.0,3,45,15.75,63
411,69.0,1503.0,616.25,2465.0,1,31,11.75,47
412,81.0,10176.0,4964.75,19859.0,1,72,39.5,158
413,74.0,384.0,157.75,631.0,1,6,2.75,11
414,36.0,164.0,84.5,338.0,0,4,1.5,6
415,86.0,513.0,242.5,970.0,2,7,4.5,18
416,41.0,1647.0,520.25,2081.0,1,13,5.25,21
